predictor,coef,OR,p,ci_low,ci_high,model,n
const,0.8200486756634917,2.2706103583082697,0.05201448995279068,0.9928717084239271,5.192686381849737,primary_parsimonious,558
age_at_surgery,-0.01366088815885446,0.9864319983221068,0.02568876865210804,0.9746637049961185,0.9983423844818556,primary_parsimonious,558
sex_f,-0.026812498098664036,0.9735437657190914,0.905058568873018,0.6266238366018582,1.5125301790469718,primary_parsimonious,558
bethesda_ge4,1.0089112117954198,2.7426132638265646,1.73583284210058e-06,1.8137448002284056,4.147180746690583,primary_parsimonious,558
has_mol,-0.5011211335839352,0.6058510388644088,0.29457908512869957,0.23735469146793625,1.5464429163923568,primary_parsimonious,558
const,0.6579025894667528,1.9307385333088671,0.3001651746030902,0.5561818794140443,6.702396144101247,primary_extended,558
age_at_surgery,-0.017380521960894704,0.9827696480412734,0.0059787769488886654,0.9706662096975175,0.9950240066687248,primary_extended,558
sex_f,-0.06020872849742453,0.9415679810020021,0.7912954874671068,0.602816343556894,1.4706805353304324,primary_extended,558
bethesda_ge4,1.0860981466454194,2.9626915027349225,5.675062905218516e-07,1.935803036725303,4.534315100169603,primary_extended,558
has_mol,-0.45286174912189525,0.6358060282922327,0.3500037456633526,0.24596074492265346,1.643552127555421,primary_extended,558
bilateral_nodule_indicator,0.6954782715158202,2.0046676201216274,0.002291537850006794,1.2820958642240352,3.134470969997511,primary_extended,558
tirads_score,-0.04322023609969581,0.9577004466281609,0.6836070850045138,0.7779645029795819,1.1789614332774396,primary_extended,558
const,1.0306915306879436,2.8030035275925544,0.007944800271881155,1.3095038096052163,5.9998517897133485,broad_nodal_parsimonious,635
age_at_surgery,-0.016058136113700956,0.9840701083805585,0.005249544344199928,0.973036557098023,0.9952287723867798,broad_nodal_parsimonious,635
sex_f,-0.06297420448211502,0.9389676945346951,0.7576638024656154,0.6293942987613892,1.400807622685582,broad_nodal_parsimonious,635
bethesda_ge4,1.0170306262313327,2.764972325964192,2.5612891881890065e-07,1.878007253265127,4.070842617916419,broad_nodal_parsimonious,635
has_mol,-0.4207501339876238,0.6565541314782898,0.3661912834553043,0.2635921908750918,1.6353417987465302,broad_nodal_parsimonious,635
const,-19.89764786558163,2.283291338102026e-09,0.9999954111701422,0.0,inf,completion_after_lobe,238
age_at_surgery,-0.34766743190174143,0.7063337412269701,0.9999978929591137,0.0,inf,completion_after_lobe,238
sex_f,-2.070704018986915,0.12609697578303533,0.9999992094262025,0.0,inf,completion_after_lobe,238
bethesda_ge4,1.4946521131104349,4.457785477939887,0.9999994026928022,0.0,inf,completion_after_lobe,238
has_mol,-0.14037524712997212,0.8690320724157437,0.999999989874051,0.0,inf,completion_after_lobe,238
